pair_id,a_age,a_education,a_location,a_career_field,a_career_ambition,a_openness,a_extraversion,a_agreeableness,a_conscientiousness,a_chronotype,a_spontaneity,a_love_language,a_emotional_expressiveness,b_age,b_education,b_location,b_career_field,b_career_ambition,b_openness,b_extraversion,b_agreeableness,b_conscientiousness,b_chronotype,b_spontaneity,b_love_language,b_emotional_expressiveness,compatibility_score,compatible,relationship_longevity_months
981,50,5,Urban,Education,0.73,0.35,0.58,0.49,0.32,0.19,0.67,Receiving Gifts,0.75,31,3,Suburban,Science,0.26,0.61,0.54,0.5,0.47,0.82,0.5,Receiving Gifts,0.31,73.9,1,81
982,46,4,Urban,Tech,0.67,0.72,0.53,0.14,0.33,0.66,0.45,Receiving Gifts,0.75,21,4,Urban,Tech,0.8,0.54,0.58,0.94,0.23,0.77,0.91,Quality Time,0.54,54.8,0,68
983,39,3,Suburban,Entrepreneurship,0.61,0.87,0.38,0.76,0.47,0.16,0.52,Receiving Gifts,0.38,48,2,Urban,Engineering,0.13,0.85,0.54,0.63,0.66,0.59,0.56,Acts of Service,0.38,74.3,1,95
984,43,5,Urban,Science,0.72,0.19,0.19,0.41,0.41,0.29,0.6,Receiving Gifts,0.2,18,4,Suburban,Education,0.8,0.19,0.5,0.22,0.12,0.72,0.75,Acts of Service,0.33,78.1,1,69
985,45,3,Urban,Finance,0.46,0.56,0.46,0.79,0.41,0.61,0.68,Receiving Gifts,0.37,28,3,Urban,Entrepreneurship,0.64,0.99,0.64,0.66,0.35,0.86,0.38,Quality Time,0.97,52.7,0,61
986,38,5,Urban,Science,0.67,0.76,0.83,0.6,0.76,0.86,0.39,Acts of Service,0.24,18,4,Urban,Marketing,0.61,0.03,0.61,0.68,0.56,0.41,0.31,Physical Touch,0.78,64.7,0,37
987,24,3,Suburban,Creative Arts,0.58,0.91,0.11,0.08,0.53,0.63,0.65,Acts of Service,0.5,54,3,Suburban,Marketing,0.23,0.69,0.93,0.71,0.89,0.38,0.57,Quality Time,0.45,65.6,1,78
988,34,3,Suburban,Education,0.46,0.83,0.74,0.19,0.61,0.1,0.43,Physical Touch,0.66,25,5,Rural,Tech,0.39,0.94,0.46,0.36,0.86,0.72,0.64,Quality Time,0.28,55.4,0,62
989,37,3,Suburban,Entrepreneurship,0.39,0.45,0.82,0.22,0.64,0.34,0.61,Quality Time,0.35,30,5,Suburban,Marketing,0.78,0.65,0.16,0.57,0.55,0.46,0.88,Receiving Gifts,0.52,65.3,1,56
990,37,4,Urban,Science,0.7,0.19,0.2,0.09,0.2,0.51,0.47,Quality Time,0.64,23,2,Urban,Tech,0.42,0.41,0.35,0.68,0.5,0.23,0.67,Words of Affirmation,0.53,58.0,0,51
991,39,3,Suburban,Finance,0.65,0.4,0.8,0.73,0.84,0.56,0.59,Physical Touch,0.37,55,2,Rural,Entrepreneurship,0.24,0.61,0.75,0.18,0.47,0.46,0.18,Receiving Gifts,0.63,53.5,0,70
992,45,5,Urban,Entrepreneurship,0.38,0.44,0.43,0.8,0.35,0.25,0.38,Words of Affirmation,0.16,41,3,Urban,Entrepreneurship,0.22,0.5,0.56,0.53,0.59,0.32,0.65,Receiving Gifts,0.56,69.9,1,42
993,24,1,Suburban,Education,0.62,0.23,0.67,0.64,0.71,0.36,0.48,Receiving Gifts,0.99,45,3,Urban,Entrepreneurship,0.51,0.27,0.27,0.02,0.47,0.08,0.68,Receiving Gifts,0.62,66.4,1,62
994,18,5,Urban,Science,0.76,0.65,0.34,0.57,0.57,0.85,0.62,Receiving Gifts,0.02,43,2,Urban,Finance,0.26,0.42,0.53,0.63,0.4,0.82,0.71,Acts of Service,0.62,47.2,0,48
995,49,3,Urban,Tech,0.54,0.16,0.28,0.53,0.73,0.86,0.67,Physical Touch,0.41,33,3,Urban,Science,0.5,0.93,0.6,0.58,0.53,0.93,0.66,Words of Affirmation,0.11,56.2,0,52
996,30,5,Rural,Engineering,0.91,0.57,0.61,0.56,0.55,0.55,0.44,Words of Affirmation,0.2,47,5,Suburban,Science,0.37,0.5,0.43,0.34,0.31,0.64,0.49,Receiving Gifts,0.47,53.0,0,55
997,47,3,Urban,Tech,0.36,0.42,0.62,0.75,0.36,0.29,0.83,Words of Affirmation,0.6,27,4,Urban,Marketing,0.69,0.44,0.24,0.38,0.61,0.47,0.77,Words of Affirmation,0.65,82.6,1,91
998,40,4,Rural,Marketing,0.55,0.38,0.36,0.49,0.53,0.35,0.53,Words of Affirmation,0.59,26,4,Urban,Entrepreneurship,0.65,0.28,0.14,0.27,0.53,0.43,0.21,Receiving Gifts,0.27,73.5,1,82
999,36,3,Suburban,Marketing,0.53,0.68,0.69,0.44,0.63,0.71,0.23,Quality Time,0.29,30,1,Suburban,Tech,0.17,0.33,0.78,0.55,0.35,0.52,0.56,Physical Touch,0.35,64.3,0,68
1000,49,4,Rural,Education,0.43,0.64,0.24,0.53,0.77,0.05,0.35,Words of Affirmation,0.23,48,3,Suburban,Science,0.21,0.4,0.4,0.05,0.07,0.33,0.66,Quality Time,0.65,54.7,0,30
1001,47,2,Urban,Creative Arts,0.5,0.53,0.18,0.49,0.43,0.7,0.58,Quality Time,0.77,55,3,Suburban,Tech,0.38,0.55,0.2,0.86,0.26,0.1,0.66,Physical Touch,0.83,58.1,0,43
1002,46,5,Urban,Science,0.7,0.43,0.37,0.56,0.49,0.46,0.32,Physical Touch,0.8,21,2,Rural,Engineering,0.68,0.46,0.84,0.63,0.9,0.59,0.53,Physical Touch,0.64,80.6,1,70
1003,46,5,Urban,Tech,0.61,0.36,0.15,0.76,0.57,0.65,0.34,Receiving Gifts,0.46,39,3,Suburban,Creative Arts,0.46,0.3,0.91,0.15,0.18,0.37,0.33,Receiving Gifts,0.88,78.7,1,66
1004,47,3,Urban,Law,0.64,0.51,0.34,0.39,0.07,0.36,0.62,Acts of Service,0.53,53,4,Rural,Finance,0.5,0.77,0.07,0.11,0.45,0.85,0.73,Quality Time,0.36,64.6,0,56
1005,33,3,Urban,Marketing,0.32,0.61,0.45,0.9,0.49,0.46,0.47,Acts of Service,0.62,37,4,Rural,Entrepreneurship,0.57,0.14,0.84,0.53,0.5,0.52,0.67,Receiving Gifts,0.41,70.0,1,83
1006,36,3,Suburban,Science,0.37,0.41,0.6,0.71,0.21,0.47,0.63,Words of Affirmation,0.29,54,2,Suburban,Tech,0.64,0.78,0.54,0.58,0.75,0.46,0.57,Physical Touch,0.82,51.1,0,75
1007,35,2,Rural,Law,0.62,0.38,0.53,0.68,0.44,0.79,0.34,Receiving Gifts,0.31,53,5,Suburban,Marketing,0.38,0.1,0.67,0.64,0.69,0.45,0.89,Words of Affirmation,0.92,44.9,0,47
1008,18,3,Suburban,Marketing,0.62,0.5,0.69,0.19,0.23,0.44,0.55,Quality Time,0.34,40,4,Urban,Engineering,0.39,0.43,0.63,0.59,0.95,0.6,0.6,Receiving Gifts,0.44,60.6,0,48
1009,31,4,Rural,Finance,0.63,0.66,0.65,0.21,0.8,0.65,0.8,Receiving Gifts,0.5,41,4,Urban,Tech,0.57,0.63,0.61,0.77,0.57,0.21,0.35,Acts of Service,0.26,54.6,0,52
1010,19,3,Urban,Finance,0.58,0.69,0.76,0.92,0.48,0.79,0.13,Receiving Gifts,0.85,36,4,Suburban,Finance,0.31,0.39,0.71,0.24,0.51,0.16,0.48,Words of Affirmation,0.71,57.9,0,61
1011,45,4,Urban,Education,0.36,0.3,0.7,0.68,0.49,0.73,0.44,Quality Time,0.38,46,2,Urban,Healthcare,0.47,0.32,0.99,0.73,0.63,0.86,0.41,Words of Affirmation,0.72,76.4,1,114
1012,47,3,Urban,Marketing,0.59,0.33,0.81,0.44,0.74,0.45,0.36,Words of Affirmation,0.62,51,2,Urban,Tech,0.14,0.47,0.4,0.24,0.59,0.53,0.34,Words of Affirmation,0.3,64.0,0,38
1013,55,2,Suburban,Healthcare,0.42,0.36,0.77,0.71,0.57,0.45,0.25,Receiving Gifts,0.61,22,3,Suburban,Entrepreneurship,0.48,0.46,0.23,0.83,0.35,0.56,0.83,Receiving Gifts,0.55,97.7,1,101
1014,21,3,Urban,Entrepreneurship,0.28,0.49,0.4,0.7,0.68,0.68,0.18,Acts of Service,0.46,29,3,Urban,Education,0.41,0.09,0.33,0.91,0.65,0.45,0.84,Quality Time,0.74,68.3,1,92
1015,18,4,Rural,Finance,0.42,0.4,0.36,0.43,0.67,0.72,0.91,Receiving Gifts,0.74,34,4,Urban,Creative Arts,0.61,0.58,0.7,0.58,0.73,0.28,0.71,Quality Time,0.72,60.6,0,50
1016,25,3,Urban,Creative Arts,0.43,0.69,0.75,0.88,0.44,0.77,0.75,Acts of Service,0.82,54,4,Urban,Law,0.61,0.76,0.62,0.47,0.85,0.46,0.51,Physical Touch,0.8,49.6,0,46
1017,46,3,Suburban,Creative Arts,0.65,0.52,0.74,0.67,0.43,0.42,0.68,Quality Time,0.74,33,5,Suburban,Education,0.6,0.16,0.46,0.41,0.72,0.55,0.52,Physical Touch,0.3,57.0,0,86
1018,20,4,Urban,Science,0.75,0.89,0.3,0.28,0.72,0.6,0.61,Words of Affirmation,0.3,22,3,Suburban,Science,0.63,0.53,0.29,0.5,0.41,0.42,0.43,Quality Time,0.19,62.2,0,80
1019,49,1,Urban,Entrepreneurship,0.48,0.84,0.28,0.37,0.51,0.59,0.41,Receiving Gifts,0.17,30,4,Suburban,Education,0.64,0.38,0.63,0.21,0.71,0.83,0.05,Acts of Service,0.46,64.8,0,52
1020,27,1,Urban,Science,0.54,0.54,0.52,0.65,0.23,0.4,0.74,Receiving Gifts,0.48,25,2,Urban,Tech,0.27,0.84,0.29,0.61,0.67,0.67,0.82,Acts of Service,0.31,58.5,0,40
1021,27,2,Urban,Creative Arts,0.61,0.58,0.26,0.47,0.41,0.66,0.37,Quality Time,0.13,45,4,Urban,Science,0.79,0.31,0.45,0.9,0.09,0.43,0.45,Receiving Gifts,0.57,46.8,0,35
1022,36,2,Suburban,Creative Arts,0.45,0.37,0.24,0.19,0.83,0.16,0.3,Quality Time,0.83,40,2,Rural,Creative Arts,0.35,0.36,0.75,0.79,0.27,0.91,0.21,Quality Time,0.9,89.5,1,88
1023,51,4,Urban,Law,0.57,0.05,0.83,0.23,0.76,0.72,0.4,Quality Time,0.33,55,4,Urban,Law,0.82,0.41,0.75,0.47,0.24,0.24,0.76,Acts of Service,0.6,56.9,0,80
1024,50,3,Urban,Tech,0.64,0.33,0.22,0.41,0.09,0.31,0.49,Receiving Gifts,0.8,51,3,Suburban,Engineering,0.77,0.91,0.36,0.19,0.83,0.29,0.21,Quality Time,0.56,63.3,0,62
1025,40,2,Urban,Engineering,0.56,0.88,0.74,0.49,0.43,0.49,0.46,Physical Touch,0.89,51,1,Suburban,Tech,0.23,0.88,0.85,0.35,0.89,0.22,0.37,Quality Time,0.82,57.5,0,67
1026,45,3,Urban,Education,0.28,0.13,0.63,0.75,0.18,0.45,0.54,Receiving Gifts,0.55,28,2,Urban,Science,0.32,0.37,0.17,0.36,0.25,0.41,0.61,Receiving Gifts,0.56,73.0,1,51
1027,49,4,Suburban,Law,0.75,0.58,0.75,0.96,0.41,0.61,0.74,Receiving Gifts,0.57,39,2,Urban,Law,0.58,0.88,0.91,0.84,0.7,0.45,0.35,Quality Time,0.86,66.2,1,89
1028,24,2,Suburban,Law,0.64,0.56,0.83,0.14,0.33,0.19,0.69,Receiving Gifts,0.28,32,4,Suburban,Healthcare,0.79,0.44,0.41,0.74,0.74,0.18,0.54,Receiving Gifts,0.06,68.6,1,72
1029,46,2,Suburban,Creative Arts,0.41,0.69,0.21,0.84,0.32,0.66,0.7,Quality Time,0.13,41,3,Urban,Engineering,0.1,0.12,0.32,0.56,0.05,0.49,0.68,Receiving Gifts,0.21,53.7,0,40
1030,25,2,Suburban,Healthcare,0.62,0.25,0.67,0.09,0.23,0.68,0.6,Physical Touch,0.37,39,3,Urban,Healthcare,0.63,0.78,0.81,0.13,0.5,0.34,0.65,Receiving Gifts,0.35,83.4,1,116
1031,18,3,Rural,Engineering,0.49,0.32,0.07,0.38,0.43,0.87,0.38,Acts of Service,0.85,35,4,Urban,Healthcare,0.43,0.61,0.26,0.59,0.77,0.44,0.48,Acts of Service,0.37,63.6,0,85
1032,20,2,Rural,Education,0.52,0.9,0.43,0.34,0.64,0.58,0.48,Quality Time,0.31,40,5,Suburban,Engineering,0.67,0.61,0.5,0.43,0.86,0.26,0.5,Quality Time,0.31,72.3,1,91
1033,41,4,Urban,Education,0.82,0.78,0.53,0.3,0.74,0.43,0.69,Acts of Service,0.66,38,2,Urban,Engineering,0.37,0.35,0.6,0.6,0.78,0.75,0.4,Receiving Gifts,0.4,67.8,1,86
1034,40,2,Urban,Entrepreneurship,0.52,0.96,0.12,0.9,0.77,0.42,0.71,Physical Touch,0.64,55,3,Urban,Tech,0.46,0.55,0.83,0.48,0.36,0.62,0.76,Acts of Service,0.5,59.4,0,73
1035,25,1,Rural,Creative Arts,0.38,0.31,0.83,0.62,0.68,0.74,0.4,Words of Affirmation,0.2,19,3,Suburban,Engineering,0.46,0.38,0.35,0.76,0.25,0.18,0.29,Receiving Gifts,0.67,60.0,0,51
1036,54,5,Urban,Finance,0.59,0.54,0.45,0.07,0.29,0.32,0.31,Receiving Gifts,0.66,25,4,Urban,Tech,0.63,0.16,0.13,0.31,0.26,0.58,0.23,Acts of Service,0.4,66.5,1,75
1037,20,2,Urban,Finance,0.49,0.64,0.15,0.15,0.69,0.66,0.58,Physical Touch,0.3,51,5,Urban,Education,0.5,0.92,0.7,0.52,0.79,0.8,0.48,Receiving Gifts,0.7,52.0,0,61
1038,50,3,Suburban,Law,0.57,0.4,0.5,0.46,0.8,0.56,0.88,Quality Time,0.96,55,5,Urban,Science,0.49,0.69,0.74,0.94,0.65,0.35,0.49,Quality Time,0.49,69.5,1,75
1039,45,2,Suburban,Engineering,0.54,0.13,0.41,0.38,0.22,0.41,0.29,Acts of Service,0.19,26,4,Urban,Finance,0.46,0.83,0.34,0.7,0.48,0.59,0.53,Quality Time,0.77,52.1,0,84
1040,25,3,Urban,Education,0.81,0.25,0.31,0.65,0.27,0.16,0.54,Quality Time,0.33,31,4,Suburban,Education,0.61,0.23,0.43,0.74,0.08,0.65,0.82,Physical Touch,0.27,69.9,1,76
1041,51,2,Suburban,Creative Arts,0.41,0.27,0.84,0.34,0.45,0.38,0.75,Quality Time,0.98,29,2,Suburban,Tech,0.36,0.04,0.24,0.38,0.42,0.59,0.67,Words of Affirmation,0.55,73.3,1,69
1042,52,4,Rural,Tech,0.58,0.7,0.54,0.92,0.76,0.88,0.35,Words of Affirmation,0.39,40,3,Urban,Engineering,0.59,0.38,0.55,0.39,0.51,0.14,0.33,Acts of Service,0.49,73.6,1,106
1043,49,4,Urban,Marketing,0.49,0.8,0.93,0.39,0.19,0.19,0.51,Quality Time,0.98,42,4,Suburban,Education,0.27,0.27,0.67,0.59,0.09,0.42,0.41,Receiving Gifts,0.78,65.4,1,78
1044,41,3,Urban,Law,0.34,0.34,0.74,0.81,0.05,0.05,0.49,Acts of Service,0.67,54,3,Urban,Science,0.31,0.34,0.7,0.18,0.55,0.37,0.14,Acts of Service,0.48,79.4,1,76
1045,31,4,Urban,Law,0.24,0.32,0.48,0.69,0.22,0.48,0.53,Quality Time,0.73,52,4,Urban,Marketing,0.87,0.26,0.63,0.92,0.39,0.26,0.54,Quality Time,0.86,59.2,0,74
1046,49,2,Urban,Engineering,0.35,0.32,0.69,0.52,0.49,0.2,0.46,Words of Affirmation,0.18,46,1,Urban,Science,0.39,0.26,0.63,0.26,0.38,0.52,0.56,Words of Affirmation,0.57,75.5,1,52
1047,33,3,Urban,Finance,0.64,0.29,0.82,0.24,0.57,0.76,0.7,Acts of Service,0.82,46,2,Urban,Law,0.45,0.64,0.34,0.29,0.11,0.23,0.45,Acts of Service,0.48,85.5,1,76
1048,21,1,Urban,Tech,0.44,0.13,0.52,0.68,0.28,0.48,0.81,Physical Touch,0.48,30,4,Suburban,Tech,0.5,0.18,0.51,0.85,0.44,0.5,0.49,Words of Affirmation,0.85,75.7,1,95
1049,54,1,Suburban,Engineering,0.34,0.16,0.81,0.28,0.66,0.48,0.47,Acts of Service,0.76,31,2,Urban,Science,0.41,0.74,0.22,0.78,0.1,0.87,0.82,Physical Touch,0.81,60.9,0,52
1050,38,2,Urban,Healthcare,0.65,0.68,0.43,0.9,0.54,0.76,0.66,Words of Affirmation,0.75,39,3,Urban,Marketing,0.15,0.55,0.33,0.67,0.53,0.44,0.53,Quality Time,0.41,63.3,0,69
1051,31,4,Suburban,Creative Arts,0.32,0.68,0.62,0.09,0.14,0.31,0.57,Acts of Service,0.58,52,4,Urban,Engineering,0.31,0.79,0.65,0.32,0.27,0.71,0.58,Physical Touch,0.66,77.1,1,70
1052,48,3,Suburban,Healthcare,0.38,0.61,0.66,0.73,0.47,0.41,0.77,Words of Affirmation,0.28,50,4,Rural,Healthcare,0.34,0.61,0.4,0.6,0.21,0.0,0.31,Words of Affirmation,0.44,77.1,1,88
1053,35,3,Suburban,Entrepreneurship,0.44,0.84,0.52,0.86,0.64,0.66,0.46,Receiving Gifts,0.3,31,4,Urban,Entrepreneurship,0.89,0.48,0.68,0.57,0.34,0.43,0.18,Quality Time,0.93,57.1,0,58
1054,24,5,Suburban,Creative Arts,0.79,0.38,0.19,0.22,0.34,0.09,0.63,Physical Touch,0.35,32,2,Urban,Science,0.51,0.44,0.88,0.64,0.46,0.75,0.89,Physical Touch,0.42,72.1,1,82
1055,27,3,Rural,Marketing,0.71,0.8,0.57,0.51,0.13,0.49,0.28,Physical Touch,0.41,52,2,Rural,Tech,0.48,0.79,0.9,0.49,0.24,0.06,0.77,Quality Time,0.43,68.2,1,50
1056,24,3,Urban,Science,0.51,0.35,0.5,0.82,0.22,0.32,0.7,Receiving Gifts,0.7,42,2,Suburban,Marketing,0.38,0.6,0.25,0.81,0.46,0.92,0.81,Receiving Gifts,0.69,79.1,1,82
1057,50,5,Urban,Creative Arts,0.29,0.5,0.45,0.34,0.27,0.52,0.43,Words of Affirmation,0.46,53,3,Urban,Healthcare,0.54,0.61,0.73,0.57,0.56,0.63,0.25,Receiving Gifts,0.17,65.0,1,110
1058,40,2,Urban,Entrepreneurship,0.42,0.58,0.71,0.22,0.27,0.5,0.32,Receiving Gifts,0.81,25,2,Rural,Education,0.6,0.88,0.85,0.3,0.59,0.52,0.48,Physical Touch,0.27,49.7,0,22
1059,38,2,Urban,Finance,0.24,0.69,0.73,0.34,0.49,0.53,0.45,Physical Touch,0.64,20,3,Urban,Education,0.73,0.54,0.94,0.4,0.61,0.65,0.93,Receiving Gifts,0.56,58.6,0,76
1060,36,3,Urban,Engineering,0.5,0.48,0.89,0.46,0.35,0.6,0.47,Physical Touch,0.75,32,4,Urban,Education,0.73,0.22,0.01,0.21,0.51,0.76,0.24,Words of Affirmation,0.45,58.2,0,61
1061,36,3,Urban,Finance,0.49,0.15,0.57,0.65,0.48,0.83,0.73,Receiving Gifts,0.16,18,3,Urban,Science,0.41,0.63,0.57,0.61,0.52,0.58,0.66,Physical Touch,0.56,80.1,1,69
1062,53,2,Suburban,Entrepreneurship,0.08,0.48,0.18,0.68,0.69,0.78,0.11,Words of Affirmation,0.85,37,1,Suburban,Marketing,0.52,0.52,0.69,0.57,0.88,0.65,0.31,Acts of Service,0.25,51.2,0,49
1063,46,2,Urban,Healthcare,0.37,0.5,0.27,0.29,0.03,0.27,0.81,Receiving Gifts,0.67,49,5,Urban,Finance,0.8,0.85,0.1,0.95,0.39,0.59,0.86,Words of Affirmation,0.15,38.8,0,35
1064,35,2,Suburban,Tech,0.3,0.64,0.62,0.48,0.72,0.73,0.69,Quality Time,0.43,54,5,Suburban,Healthcare,0.86,0.29,0.57,0.48,0.43,0.44,0.49,Physical Touch,0.59,52.4,0,39
1065,19,4,Urban,Finance,0.55,0.14,0.25,0.14,0.57,0.39,0.87,Quality Time,0.27,53,1,Urban,Science,0.3,0.95,0.54,0.41,0.07,0.75,0.32,Acts of Service,0.73,44.8,0,70
1066,18,4,Urban,Marketing,0.78,0.64,0.33,0.7,0.48,0.62,0.47,Physical Touch,0.24,44,5,Urban,Tech,0.64,0.33,0.54,0.68,0.43,0.19,0.59,Quality Time,0.85,58.1,0,34
1067,22,2,Suburban,Law,0.61,0.83,0.55,0.42,0.79,0.5,0.65,Acts of Service,0.67,39,5,Suburban,Finance,0.5,0.32,0.4,0.51,0.22,0.14,0.4,Words of Affirmation,0.61,58.3,0,56
1068,37,3,Urban,Engineering,0.52,0.45,0.16,0.13,0.06,0.29,0.92,Quality Time,0.36,50,3,Suburban,Finance,0.64,0.29,0.41,0.05,0.35,0.52,0.67,Quality Time,0.18,66.1,1,103
1069,28,3,Urban,Tech,0.76,0.62,0.53,0.16,0.27,0.74,0.23,Physical Touch,0.64,52,5,Suburban,Finance,0.6,0.88,0.36,1.0,0.8,0.78,0.14,Physical Touch,0.47,56.3,0,50
1070,19,1,Urban,Science,0.21,0.62,0.59,0.68,0.78,0.26,0.86,Receiving Gifts,0.41,48,5,Suburban,Finance,0.85,0.36,0.47,0.46,0.41,0.67,0.39,Words of Affirmation,0.44,51.0,0,51
1071,20,4,Suburban,Tech,0.67,0.04,0.71,0.3,0.07,0.54,0.8,Acts of Service,0.73,30,4,Suburban,Education,0.71,0.86,0.59,0.4,0.69,0.83,0.4,Physical Touch,0.48,62.5,0,51
1072,40,3,Urban,Law,0.6,0.52,0.49,0.34,0.24,0.74,0.29,Quality Time,0.12,36,3,Suburban,Tech,0.58,0.66,0.31,0.87,0.29,0.88,0.49,Words of Affirmation,0.46,57.6,0,60
1073,29,2,Urban,Education,0.42,0.51,0.27,0.87,0.48,0.13,0.44,Physical Touch,0.49,24,3,Urban,Science,0.53,0.65,0.75,0.1,0.18,0.14,0.59,Physical Touch,0.18,74.3,1,96
1074,37,3,Rural,Finance,0.69,0.4,0.44,0.93,0.71,0.18,0.37,Receiving Gifts,0.47,39,2,Urban,Education,0.24,0.6,0.81,0.34,0.51,0.12,0.47,Words of Affirmation,0.79,42.7,0,34
1075,22,5,Suburban,Entrepreneurship,0.66,0.62,0.36,0.91,0.66,0.85,0.84,Physical Touch,0.42,24,3,Urban,Marketing,0.6,0.37,0.5,0.91,0.59,0.54,0.76,Words of Affirmation,0.3,67.2,1,63
1076,54,1,Urban,Tech,0.32,0.69,0.82,0.62,0.75,0.64,0.51,Quality Time,0.18,55,3,Suburban,Education,0.69,0.74,0.34,0.24,0.38,0.87,0.42,Receiving Gifts,0.85,65.1,1,84
1077,55,2,Urban,Finance,0.39,0.45,0.48,0.91,0.45,0.13,0.69,Acts of Service,0.82,30,3,Rural,Healthcare,0.76,0.74,0.28,0.29,0.24,0.69,0.57,Words of Affirmation,0.3,47.6,0,69
1078,47,2,Suburban,Marketing,0.46,0.26,0.82,0.38,0.57,0.79,0.41,Words of Affirmation,0.78,55,3,Suburban,Tech,0.26,0.57,0.39,0.4,0.43,0.45,0.76,Words of Affirmation,0.75,80.7,1,107
1079,26,1,Suburban,Engineering,0.48,0.23,0.63,0.94,0.49,0.46,0.76,Quality Time,0.18,48,4,Urban,Marketing,0.44,0.6,0.52,0.16,0.61,0.28,0.3,Quality Time,0.66,80.7,1,96
1080,51,2,Urban,Science,0.24,0.66,0.49,0.43,0.85,0.6,0.17,Quality Time,0.22,27,3,Urban,Law,0.41,0.35,0.69,0.77,0.1,0.69,0.26,Words of Affirmation,0.5,57.6,0,76
1081,52,4,Urban,Law,0.59,0.85,0.17,0.43,0.81,0.38,0.53,Words of Affirmation,0.54,46,1,Urban,Tech,0.15,0.74,0.66,0.83,0.5,0.42,0.91,Physical Touch,0.55,56.2,0,51
1082,39,3,Suburban,Law,0.63,0.44,0.61,0.53,0.63,0.33,0.29,Quality Time,0.65,43,3,Urban,Science,0.57,0.36,0.41,0.54,0.4,0.3,0.31,Receiving Gifts,0.12,64.2,0,94
1083,41,3,Urban,Science,0.42,0.31,0.67,0.19,0.83,0.52,0.21,Receiving Gifts,0.66,31,2,Urban,Engineering,0.43,0.31,0.76,0.12,0.57,0.76,0.39,Receiving Gifts,0.43,99.6,1,113
1084,34,2,Urban,Science,0.31,0.37,0.75,0.53,0.36,0.33,0.09,Quality Time,0.4,42,3,Urban,Entrepreneurship,0.76,0.6,0.7,0.79,0.22,0.15,0.45,Receiving Gifts,0.75,68.3,1,52
1085,27,2,Urban,Education,0.32,0.42,0.35,0.5,0.51,0.39,0.44,Words of Affirmation,0.17,26,2,Urban,Marketing,0.43,0.54,0.13,0.62,0.49,0.46,0.15,Physical Touch,0.03,63.7,0,86
1086,47,5,Urban,Marketing,0.62,0.35,0.72,0.17,0.86,0.85,0.62,Words of Affirmation,0.41,23,2,Urban,Finance,0.4,0.74,0.46,0.42,0.15,0.87,0.54,Receiving Gifts,0.35,77.5,1,88
1087,40,2,Urban,Entrepreneurship,0.28,0.39,0.7,0.87,0.25,0.38,0.61,Receiving Gifts,0.32,30,2,Urban,Education,0.16,0.38,0.59,0.28,0.3,0.69,0.3,Physical Touch,0.12,49.3,0,60
1088,49,5,Urban,Education,0.45,0.42,0.47,0.68,0.68,0.72,0.71,Quality Time,0.35,21,5,Urban,Engineering,0.76,0.33,0.4,0.3,0.37,0.41,0.29,Physical Touch,0.26,56.5,0,77
1089,34,3,Rural,Tech,0.47,0.47,0.15,0.36,0.36,0.66,0.22,Words of Affirmation,0.28,29,4,Suburban,Entrepreneurship,0.56,0.74,0.67,0.27,0.49,0.78,0.44,Receiving Gifts,0.48,59.6,0,76
1090,34,3,Suburban,Marketing,0.33,0.26,0.75,0.82,0.67,0.24,0.68,Words of Affirmation,0.45,45,2,Rural,Tech,0.46,0.25,0.48,0.59,0.58,0.39,0.91,Receiving Gifts,0.18,71.7,1,51
1091,31,2,Rural,Science,0.45,0.35,0.55,0.8,0.11,0.15,0.46,Receiving Gifts,0.85,18,3,Suburban,Science,0.42,0.25,0.51,0.77,0.41,0.34,0.57,Receiving Gifts,0.49,78.2,1,98
1092,26,3,Urban,Finance,0.31,0.23,0.65,0.4,0.7,0.65,0.37,Receiving Gifts,0.63,49,3,Rural,Creative Arts,0.28,0.24,0.55,0.51,0.41,0.66,0.48,Quality Time,0.48,69.4,1,53
1093,19,4,Urban,Tech,0.5,0.32,0.57,0.35,0.31,0.44,0.14,Acts of Service,0.63,29,3,Urban,Tech,0.25,0.79,0.83,0.43,0.41,0.8,0.58,Physical Touch,0.52,76.0,1,87
1094,42,2,Rural,Engineering,0.48,0.49,0.78,0.62,0.38,0.67,0.56,Words of Affirmation,0.7,40,3,Urban,Engineering,0.66,0.29,0.5,0.41,0.23,0.47,0.32,Quality Time,0.39,62.0,0,68
1095,26,1,Urban,Science,0.39,0.84,0.38,0.96,0.32,0.41,0.47,Acts of Service,0.54,44,1,Urban,Entrepreneurship,0.38,0.44,0.93,0.52,0.58,0.51,0.57,Physical Touch,0.83,75.7,1,89
1096,39,4,Urban,Creative Arts,0.58,0.93,0.12,0.89,0.73,0.34,0.77,Quality Time,0.56,38,3,Urban,Marketing,0.22,0.19,0.23,0.87,0.66,0.47,0.37,Quality Time,0.62,73.9,1,107
1097,21,3,Suburban,Education,0.37,0.05,0.64,0.55,0.67,0.06,0.42,Quality Time,0.54,45,3,Urban,Engineering,0.3,0.45,0.68,0.58,0.36,0.48,0.64,Quality Time,0.44,73.1,1,65
1098,43,3,Urban,Healthcare,0.34,0.16,0.5,0.29,0.52,0.13,0.79,Acts of Service,0.31,32,4,Suburban,Science,0.48,0.86,0.73,0.5,0.57,0.2,0.44,Quality Time,0.61,72.6,1,81
